Name,Website,Specialty,Address,Suburb,Postcode,State
The Mulligan Practice,https://ssweye.com.au/contact-us,Ophthalmology,58 Meredith Street,BANKSTOWN,2200,NSW
Southwestern Eye Care - Bankstown,www.southwesterneyecare.com.au,Ophthalmology,"Suite 6, Level 3",BANKSTOWN,2200,NSW
Bankstown Eye Specialists,http://www.beyes.com.au/,Ophthalmology,Suite 9,BANKSTOWN,2200,NSW
Opthamology and Psychiatry Clinic,https://www.penrith-eye-specialists.center,Ophthalmology,26 Higgins Street,PENRITH,2750,NSW
Nepean Valley Eye Surgeons,http://www.nepeanvalleyeyesurgeons.com.au/,Ophthalmology,46 Castlereagh Street,PENRITH,2750,NSW
Mr Peter Wilde - Orthopaedic Surgeon,http://www.peterwilde.com.au/,Orthopaedic service,159 Lennox Street,RICHMOND,3121,VIC
Eden Raleigh - Orthopaedic Surgery,www.cityorthopaedics.com.au,Orthopaedic service,89 Erin Street,RICHMOND,3121,VIC
Dr Kristopher M Lundine - Orthopaedic Surgeon,https://kmlortho.com,Orthopaedic service,Level 1 Suite 1,RICHMOND,3121,VIC
Melbourne Orthopaedic Spine - Dr Lu Ton,http://melbournespine.com.au/,Orthopaedic service,55 Erin Street,RICHMOND,3121,VIC
Major Joint Surgery,https://drjasonhockings.com.au/,Orthopaedic service,21 Erin Street,RICHMOND,3121,VIC
Mr John Marshall O'Donnell - Orthopaedic Surgeon,http://www.johnodonnell.com.au/,Orthopaedic service,21 Erin Street,RICHMOND,3121,VIC
Orthopaedics Victoria,https://www.orthopaedicsvictoria.com.au/,Orthopaedic service,32 ERIN STREET,RICHMOND,3121,VIC
Sam Patten Orthopaedics,http://www.melbourneorthopaedics.net.au/,Orthopaedic service,Level 7 Suite 8,RICHMOND,3121,VIC
Richmond Hill Orthopaedics,http://mattbarnes.com.au/,Orthopaedic service,26 Erin Street,RICHMOND,3121,VIC
Lidder Orthopaedics,https://www.lidderorthopaedics.com/,Orthopaedic service,"LEVEL 6, Suite 6.4",RICHMOND,3121,VIC
Dr David Love - Orthopaedic Surgeon,https://melbournehipandkneesurgeon.com.au/,Orthopaedic service,Level 4 Suite 3,EAST MELBOURNE,3002,VIC
Centre for Limb Lengthening & Reconstruction,www.limblengthening.com.au,Orthopaedic service,Suite 5,RICHMOND,3121,VIC
Mr Roger Westh - Orthopaedic Surgeon,https://rogerwesth.wordpress.com/,Orthopaedic service,Level 7 Suite 5,RICHMOND,3121,VIC
Mr Raymond Crowe - Orthopaedic Surgeon,www.raycrowe.com,Orthopaedic service,The Epworth Centre,RICHMOND,3121,VIC
Specialist Neurology Services,https://www.snswestmead.com.au/,Neurology,Specialist Medical Centre,WESTMEAD,2145,NSW
The Hills Neurology and Neuromuscular Clinic (Dr. Rami Haddad),https://hillsneurology.com.au,Neurology,209,BELLA VISTA,2153,NSW
Tharawal Aboriginal Corporation,http://tacams.com.au/,Neurology; Orthopaedic service; Cardiology,21 DEANS ROAD,AIRDS,2560,NSW
Northern Neuroscience,https://www.northernneuroscience.com.au/,Neurology,Nurses Res Adventist Hosp,WAHROONGA,2076,NSW
Southern Hand & Wrist,www.handandwrist.com.au,Orthopaedic service,Suite 107,BURWOOD,2134,NSW
Orthoelite,http://www.orthoelite.com.au/,Orthopaedic service,Sydney Private Hospital,ASHFIELD,2131,NSW
Hip & Knee Clinic at Sydney Olympic Park,www.shoulderandelbow.com.au,Orthopaedic service,8 Australia Avenue,SYDNEY OLYMPIC PARK,2127,NSW
North Ryde Medical Centre,http://www.northrydemedicalcentre.com.au/,Orthopaedic service,Shop 1,NORTH RYDE,2113,NSW
Dr Richard Lawson,www.drrichardlawson.com.au,Orthopaedic service,North Shore Private Hospital,ST LEONARDS,2065,NSW
Dr Richard Boyle - Orthopaedic Surgeon,http://www.boyleorthopaedics.com/,Orthopaedic service,Suite 101,NEWTOWN,2042,NSW
Orthonorth - St Leonards,http://www.orthonorth.com.au,Orthopaedic service,Ama House,ST LEONARDS,2065,NSW
Dr David Parker,https://www.knee-surgeon.com.au/,Orthopaedic service,The Landmark,ST LEONARDS,2065,NSW
Dr Vinay Kulkarni - Westmead Private Hospital,http://drvinay.com.au/,Orthopaedic service,Westmead Private Hospital,WESTMEAD,2145,NSW
George Gayagay - Orthopaedic Surgeon,http://www.completecareorthopaedic.com.au/,Orthopaedic service,Norwest Private Hospital,BELLA VISTA,2153,NSW
Dr George Kirsh,https://www.drgeorgekirsh.com.au/,Orthopaedic service,Suite 3,BANKSTOWN,2200,NSW
Dr Frank G Machart,https://drfrankmachart.com.au/,Orthopaedic service,Bankstown Hospital Medical Centre,BANKSTOWN,2200,NSW
Mayfair Specialist Centre,www.mayfairspecialistcentre.au,Neurology,LEVEL 7,EAST MELBOURNE,3002,VIC
Melbourne Neurology and Psychiatry,https://www.melbourneneurologyandpsychiatry.com.au/,Neurology,Level 3 Suite B33,FITZROY,3065,VIC
The Specialist Collective,https://www.thespecialistcollective.com.au/,Neurology,"Suite 15/16, Level 3",PARKVILLE,3052,VIC
Prof Bernard Yan - Neurologist,http://www.bernardyan.com/,Neurology,Melbourne Private Hospital,PARKVILLE,3052,VIC
North West Specialist Centre,https://nwsc.com.au/,Neurology; Orthopaedic service,Level 1 Suite 6,NIDDRIE,3042,VIC
Dr Michael A. Poon - Neurologist,https://michaelpoon168.wixsite.com/neuro,Neurology,40 Eleanor Street,FOOTSCRAY,3011,VIC
North West Melbourne Medical Specialists,http://nwmms.com.au,Neurology,47 Milleara Road,KEILOR EAST,3033,VIC
Essendon Orthopaedics,essendonortho.com.au,Orthopaedic service,276 Buckley Street,ESSENDON,3040,VIC
Precision Integrated Medical Specialists - Essendon,https://pimshealth.com.au/,Orthopaedic service; Cardiology,31-37 Keilor Road,ESSENDON,3040,VIC
Edgewater Specialist Centre,www.drthumai.com.au,Orthopaedic service,Suite 101,MARIBYRNONG,3032,VIC
Mr Arshad Barmare - Orthopaedic Surgery,https://fixbones.com.au/,Orthopaedic service,291 MORELAND ROAD,COBURG,3058,VIC
Northern Orthopaedic Surgeons,http://www.drboecksteiner.com.au/,Orthopaedic service,260 Moreland Road,BRUNSWICK,3056,VIC
Mr Bernard Mathew Lynch - Orthopaedic Surgeon,https://www.bernardmlynch.com/,Orthopaedic service,255 Moreland Road,COBURG,3058,VIC
Dr Gary Nattrass - Paediatric Orthopaedic Surgeon,https://garynattrass.au/,Orthopaedic service,64 Chapman Street,NORTH MELBOURNE,3051,VIC
Dr Jitendra Balakumar - Victorian Orthopaedic Centre,https://jitbalakumar.com.au/,Orthopaedic service,64 Chapman Street,NORTH MELBOURNE,3051,VIC
Mr Russell Miller's Room - Orthopaedic Surgery,www.russellmiller.com.au,Orthopaedic service,105 Drummond Street,CARLTON,3053,VIC
Stephen K Y Tham,https://ahss.org.au/hand-surgery-public-directory/,Orthopaedic service,Healy Wing St Vincent's Hospital,FITZROY,3065,VIC
Victorian Bone & Joint Specialists,https://vbjs.com.au,Orthopaedic service,Ground Floor Suite 7,FITZROY,3065,VIC
Edgewater Boulevard Pharmacy,https://www.edgewatermc.com.au,Pathology,46 EDGEWATER BOULEVARD,MARIBYRNONG,3032,VIC
Quality Care Specialists Medical Centre - Maribyrnong,http://www.qcspecialists.com.au,Pathology,34-36 MEPHAN STREET,MARIBYRNONG,3032,VIC
Melville Medical Group,www.melvillemedicalgroup.com.au,Pathology,6 Melville Road,PASCOE VALE SOUTH,3044,VIC
Millennium Medical Centre,https://millenniummedicalcentre.com.au/,Pathology,Corner Paisley Street and Albert Street,FOOTSCRAY,3011,VIC
Brunswick Medical Centre On Lygon,https://bmcol.com.au/,Pathology,473-475 LYGON STREET,BRUNSWICK EAST,3057,VIC
Errol Street Medical Centre,http://www.errolstreetmedicalcentre.com.au/,Pathology,Level 1,NORTH MELBOURNE,3051,VIC
Calder Medical Clinic - Kennedy Street,https://www.calderclinic.com.au,Pathology,16 KENNEDY STREET,KEILOR,3036,VIC
East Brunswick Psychology,https://www.eastbrunswickpsychology.com.au/,Pathology,Level 1,BRUNSWICK EAST,3057,VIC
Victorian Cytology Service,www.vcs.org.au,Pathology,265 Faraday Street,CARLTON,3053,VIC
The Town Medical Centre,http://www.townmedicalcentre.com.au/,Pathology,Level 5,MELBOURNE,3000,VIC
St Vincent's Pathology,https://path.svhm.org.au/,Pathology,Ips Building,FITZROY,3065,VIC
Burnley Street Medical Centre,https://burnleystreetmedicalcentre.com.au/,Pathology,307 Burnley Street,RICHMOND,3121,VIC
Melbourne City Medical Centre,http://www.melbournecitymedical.com.au,Pathology,68 Lonsdale Street,MELBOURNE,3000,VIC
Kew City Medical Centre,http://kewcmc.com.au,Pathology,Unit 1,KEW,3101,VIC
Doctors of Northcote,http://www.doctorsofnorthcote.com/,Pathology,295 High Street,NORTHCOTE,3070,VIC
St Kilda Road Medical Centre,https://skrmedicalcentre.com.au/,Pathology,Level 1,MELBOURNE,3004,VIC
Harp Family Medical,harpmedical.com.au,Pathology,623 High Street,KEW EAST,3102,VIC
Dr William Chan - Cardiologist,www.drwilliamchan.com?,Cardiology,Suite G1,RICHMOND,3121,VIC
Dr J K Vohra,https://www.melbourneheartrhythm.com.au/people/cardiologists/63-a-prof-jitendra-vohra,Cardiology,4 Normanby Place,RICHMOND,3121,VIC
Cabarita Road Family Practice,http://cabaritamedical.com.au/,Pathology,19 Cabarita Road,CONCORD,2137,NSW
Victoria Tower Medical Centre,https://www.victoriatowermedical.com.au,Pathology,Suite 3,BURWOOD,2134,NSW
Quality Care Family Doctors,https://www.qcdoctors.com.au,Pathology,UNIT 1001,BURWOOD,2134,NSW
Leichhardt Medical and Dental Centre,https://www.leichhardtmedicalanddental.com.au/,Pathology; Radiology service,30-38 SHORT STREET,LEICHHARDT,2040,NSW
Annandale General Practice,http://annandalegp.com.au,Pathology,34C Taylor Street,ANNANDALE,2038,NSW
Campsie Family Medical Centre,https://www.campsiefamilymc.com.au/,Pathology,248 BEAMISH STREET,CAMPSIE,2194,NSW
O'Connell Street Clinic,http://www.ocnlst.com.au,Pathology,12 O'connell Street,SYDNEY,2000,NSW
Darlinghurst Medical Centre,https://www.darlinghurstmedical.com.au/,Pathology; Radiology service,213-219 DARLINGHURST ROAD,DARLINGHURST,2010,NSW
Myhealth Medical Centre - Carlingford,https://www.myhealthmedical.com.au/locations/carlingford/,Pathology,Shop 2,CARLINGFORD,2118,NSW
Medownick Laser Eye Clinic,http://www.medownicklasereyesurgery.com.au,Ophthalmology,Level 1,RICHMOND,3121,VIC
Private Eye Clinic,www.privateeyeclinic.com,Ophthalmology,Level 3,EAST MELBOURNE,3002,VIC
Lansdowne Eye Clinic,http://lansdowneeyeclinic.com/index.htm,Ophthalmology,Level 5,EAST MELBOURNE,3002,VIC
The Melbourne Excimer Laser Group,www.melg.com.au,Ophthalmology,160 Victoria Parade,EAST MELBOURNE,3002,VIC
Victoria Parade Eye Consultants,https://vpecs.com.au/victoria-parade-eye-consultants/,Ophthalmology,Level 1,FITZROY,3065,VIC
Melbourne Eye Specialists,https://www.melbeye.com.au/,Ophthalmology,"Suite C27, Level 2",FITZROY,3065,VIC
Melbourne Retina Associates,www.melbourneretina.com.au,Ophthalmology,Level 4,EAST MELBOURNE,3002,VIC
Dr Mark Troski,www.cataractsurgical.com.au,Ophthalmology,Level 4 Suite 411,EAST MELBOURNE,3002,VIC
Retina Specialists Victoria - East Melbourne,www.retina-doctors.net,Ophthalmology,Suite 405,EAST MELBOURNE,3002,VIC
Eye Surgery Consultants,eyesurgeryconsultants.com.au,Ophthalmology,Suite 216-21,EAST MELBOURNE,3002,VIC
Church Street Eye Clinic,www.churchstreeteye.com.au,Ophthalmology,61 Church Street,HAWTHORN,3122,VIC
EYECARE PROJECT | Dry Eye Clinic,http://www.eyecareproject.com.au/,Ophthalmology,749 Glenferrie Road,HAWTHORN,3122,VIC
Parkville Eye Specialists,http://www.parkvilleeyespecialists.com.au/,Ophthalmology,Level 4,PARKVILLE,3052,VIC
Moonee Ponds Specialist Centre,www.mpscentre.com.au,Cardiology,827 Mount Alexander Road,MOONEE PONDS,3039,VIC
THE CLINIC FOOTSCRAY,http://clinicfootscray.com.au,Cardiology,93 PAISLEY STREET,FOOTSCRAY,3011,VIC
John Fawkner Cardiology,www.heartspecialists.com.au,Cardiology,John Fawkner Hospital,COBURG,3058,VIC
Sunshine Heart Centre,https://sunshineheartcentre.com.au/,Cardiology,Level 2,ST ALBANS,3021,VIC
Echocardiography Services,https://www.echocardiography.com.au,Cardiology,841 Rathdowne Street,CARLTON NORTH,3054,VIC
Dr Roger Brighton - HSS Orthopaedics,http://www.rogerbrighton.com/,Orthopaedic service,Level 1 Suite 1,NORWEST,2153,NSW
Deepak Cheriachan,https://www.drdeepakcheriachan.com/,Orthopaedic service,Level 1 Suite 1,NORWEST,2153,NSW
Dr Simon Chan - Orthopaedic Associates,http://orthoa.com.au/,Orthopaedic service,Level 1 Suite 1,NORWEST,2153,NSW
Dr Brian Hsu - Bella Vista,www.brianhsu.com.au,Orthopaedic service,Suite 206,NORWEST,2153,NSW
Harbour City Orthopaedics,http://www.harbourcityorthopaedics.com.au/,Orthopaedic service,23-27 Johnston Street,WINDSOR,2756,NSW
Neurology Solutions,https://www.melindapascoeneurology.com,Neurology,Unit 2,UPPER MOUNT GRAVATT,4122,QLD
Dr Alex Koefman - Neurosurgeon,https://dralexkoefman.com.au/,Neurology,"Lobby Level, Administration Building",GREENSLOPES,4120,QLD
Neurofit Brain Centre,https://neurofitbraincentre.com.au/,Neurology,111 Chatswood Road,DAISY HILL,4127,QLD
Pindara Specialist Suites,https://www.pindaraprivate.com.au/Our-Services/Pindara-Specialist-Suites,Neurology,Level 4 Suite 410,BENOWA,4217,QLD
Dr Swapna Sebastian's Rooms,https://www.neurocarecentre.com.au/,Neurology,John Flynn Gold Coast Privhosp,TUGUN,4224,QLD
Epping Eye Surgery,https://www.eppingeye.com/,Ophthalmology,40 Essex Street,EPPING,2121,NSW
"Dr Simon Taylor -  Oculoplastic, Lacrimal and Orbital Surgeon",http://www.taylor-oculoplastics.com,Ophthalmology,San Clinic,WAHROONGA,2076,NSW
Hornsby Laser Eye Centre,https://eyelasersurgerysydney.com.au/,Ophthalmology,Madison Building,HORNSBY,2077,NSW
Northern Eye Surgery,https://northerneyesurgery.com.au/,Ophthalmology,Suite 16,HORNSBY,2077,NSW
Hornsby Eye Specialists,http://www.hornsbyeye.com/,Ophthalmology,Westpac Building,HORNSBY,2077,NSW
Dr Steven Wine - Ophthalmologist,www.eye.com.au,Ophthalmology,Level 1 Suite 7,HORNSBY,2077,NSW
Orthopaedics ACT,http://www.orthoact.com.au,Orthopaedic service,7 - 11 Barry Drive,TURNER,2612,ACT
Canberra Hip & Knee Replacement,http://www.canberrahipknee.com/michael.html,Orthopaedic service,Calvary Clinic,BRUCE,2617,ACT
Avalon Orthopaedic - Dr Paul Miniter,http://www.avalonorthopaedic.com.au,Orthopaedic service,Calvary Clinic,BRUCE,2617,ACT
Livingston Orthopaedics,http://livingstonortho.com.au/,Orthopaedic service,The Calvary Clinic,BRUCE,2617,ACT
Canberra Hand Centre,www.canberrahandcentre.com.au,Orthopaedic service,Peter Yorke Building,DEAKIN,2600,ACT
Expert Orthopaedics,www.expertorthopaedics.com.au,Orthopaedic service,Level 1,DEAKIN,2600,ACT
Canberra Orthopaedics,http://www.canberraorthopaedic.com.au/,Orthopaedic service,Suite 1B,DEAKIN,2600,ACT
Canberra Orthopaedics and Sports Medicine,https://www.cosm.net.au/,Orthopaedic service,Jaa House,DEAKIN,2600,ACT
Damiani Orthopaedics,www.drdamiani.com.au,Orthopaedic service,51 Jardine Street,KINGSTON,2604,ACT
Dr Rob Creer - Orthopaedic Surgeon,www.drcreer.com.au,Orthopaedic service,Suite 5,DEAKIN,2600,ACT
Dr Katherine Gordiev,http://www.katherinegordiev.com.au,Orthopaedic service,National Capital Private Hospital,GARRAN,2605,ACT
Shoulder 2 Hand Orthopaedics - Dr Sindy Vrancic,www.shoulder2hand.com.au,Orthopaedic service,Francis Chambers,PHILLIP,2606,ACT
Dr Amin Masoumi - Orthopaedic Surgeon in Phillip,https://www.masoumiorthopaedics.com.au/,Orthopaedic service,Level 2,PHILLIP,2606,ACT
Ellesmere Specialist Centre,http://www.goulburnmedical.com.au/,Orthopaedic service; Neurology; Cardiology,56-58 Mckell Place,GOULBURN,2580,NSW
Illawarra Shoalhaven Orthopaedics,http://www.drchadtodhunter.com.au/,Orthopaedic service,32 Shoalhaven Street,NOWRA,2541,NSW
Dr Mitchell Steele,https://www.drmitchellsteele.com/,Orthopaedic service,20 Shoalhaven Street,NOWRA,2541,NSW
Dr Paul Jarman Orthopaedic Surgeon,www.fixthebones.com.au,Orthopaedic service,20 Shoalhaven Street,NOWRA,2541,NSW
South Coast Orthopaedic Clinic,https://southcoastorthopaedic.com.au/,Orthopaedic service,70 Bridge Road,NOWRA,2541,NSW
CLI-NES,https://www.cli-nes.com.au,Neurology,Chung & Lim Neurology and Endocrinology Services,HORNSBY,2077,NSW
Beenleigh Road Medical Centre - Sunnybank Hills,https://www.belmedhealth.com.au,Pathology,565 BEENLEIGH ROAD,SUNNYBANK HILLS,4109,QLD
Medical and Dental Centre Blunder Road Oxley,https://www.oxleymedicalcentre.com.au/,Pathology; Radiology service,146 BLUNDER ROAD,OXLEY,4075,QLD
Mylab,http://www.my-lab.com.au/,Pathology,11 Hayling Street,SALISBURY,4107,QLD
Browns Plains Medical and Dental Centre,https://www.forhealthbrownsplains.com.au/,Pathology; Radiology service,2-10 GRAND PLAZA DRIVE,BROWNS PLAINS,4118,QLD
Coorparoo Village Medical Centre,www.coorparoomedical.com.au,Pathology,Unit 4,COORPAROO,4151,QLD
Chapel Hill Family Doctors,http://www.chapelhillfamilydoctors.com.au/,Pathology,2 KIRKDALE ROAD,CHAPEL HILL,4069,QLD
Milton Village Medical,https://www.miltonvillagemedical.com.au/,Pathology,Milton Village,MILTON,4064,QLD
Bellbowrie Medical Centre,https://bellbowriemedicalcentre.com.au/,Pathology,8 Birkin Road,BELLBOWRIE,4070,QLD
Testify Drug Testing,https://www.testifydrugtesting.com.au,Pathology,Unit 13,MEADOWBROOK,4131,QLD
Sullivan Nicolaides Pathology - Hamilton,http://www.hhmedicalcentre.com.au/,Pathology,Hamilton Harbour,HAMILTON,4007,QLD
Bismark Street Family Practice,https://bismarkstreetfamilypractice.com.au/,Pathology,3 Bismark Street,LOGANHOLME,4129,QLD
Evercare,https://evercare.com.au,Pathology,256 Junction Road,CLAYFIELD,4011,QLD
Keperra Collection Centre,www.hsn.org.au,Pathology,Northside Pathology-Keperra Collection Centre,KEPERRA,4054,QLD
Aspley Family Medical and Dental Practice,http://www.afmdp.com.au/,Pathology; Cardiology,Shop 1,ASPLEY,4034,QLD
Victoria Point Medical and Dental Centre,https://www.victoriapointmedicalcentre.com.au/,Pathology; Radiology service,349-369 COLBURN AVENUE,VICTORIA POINT,4165,QLD
Eye Co Ophthalmic Surgeons,http://www.eyecosurgeons.com.au/,Ophthalmology,Mccullough Specialist Centre,SUNNYBANK,4109,QLD
Westside Eye Clinic,www.westsideeyeclinic.com.au,Ophthalmology,Suite 1,JAMBOREE HEIGHTS,4074,QLD
Dr Brendan Cronin,https://drbrendancronin.com.au/,Ophthalmology,Level 1,WOOLLOONGABBA,4102,QLD
Dr David Gunn,https://www.drdavidgunn.com.au/,Ophthalmology,Level 1,WOOLLOONGABBA,4102,QLD
Oxford Eye Centre,https://www.oxfordeyecentre.com.au/,Ophthalmology,213 RIDING ROAD,BALMORAL,4171,QLD
Specialist Centre Ashgrove,www.pvmedical.com.au,Ophthalmology,Suite 12,ASHGROVE,4060,QLD
Melbourne Children's Eye Clinic,http://childrenseyeclinic.com.au/,Ophthalmology,Level 4,PARKVILLE,3052,VIC
Sunshine Eye Surgeons,www.sunshineeyesurgeons.com.au,Ophthalmology,204 Furlong Road,ST ALBANS,3021,VIC
North West Eye Specialist,www.bees.net.au,Ophthalmology,Suite 208,GLADSTONE PARK,3043,VIC
Mr Om Pahuja - Ophthalmologist,https://biashara.cybo.com/AU/st-albans/ophthalmologists,Ophthalmology,26 Victoria Crescent,ST ALBANS,3021,VIC
Sydney Heart Care PTY LTD,https://sydneyheartcare.com.au/,Cardiology,Unit 18,BAULKHAM HILLS,2153,NSW
Sydney Heart,http://www.sydneyheart.net/,Cardiology,Parkway San Clinic,WAHROONGA,2076,NSW
Canberra Neurology,https://www.canberra-neurology.com.au,Neurology,Derwent House,CITY,2601,ACT
National Capital Medical Specialists,https://www.ncms.net.au/,Neurology,National Capital Private Hospital,GARRAN,2605,ACT
Park Consulting Rooms,http://www.parkmedicalconsultingrooms.com.au/,Neurology,4 MCGRATH AVENUE,NOWRA,2541,NSW
Wollongong Oncology,http://wollongongoncology.com.au,Neurology,Wollongong Private Hospital,WOLLONGONG,2500,NSW
Plexus Neurology,https://www.plexusneurology.com/,Neurology,Unit 2,WOLLONGONG,2500,NSW
Lithgow Community Private Day Surgery and Specialist Centre,www.lcprivate.com.au,Neurology; Orthopaedic service; Cardiology; Ophthalmology,Lithgow District Hospital Lith,BOWENFELS,2790,NSW
Central West Neurology and Neurosurgery,http://www.cwneurology.com.au,Neurology,93 Byng Street,ORANGE,2800,NSW
More than Medicine,www.morethanmedicine.com.au,Cardiology,53 Mort Street,BRADDON,2612,ACT
Core Cardiology,https://www.corecardiology.com.au,Cardiology,Ground Floor,MACQUARIE,2614,ACT
"Dr Darryl McGill, Consultant Cardiologist",https://www.cardiacspecialists.com.au/,Cardiology,Gadal Chambers,PHILLIP,2606,ACT
Bowral Cardiology,https://www.bowralcardiology.com.au/,Cardiology,115 BOWRAL STREET,BOWRAL,2576,NSW
Sapphire Coast Cardiology,http://www.sapphirecoastcardiology.com.au,Cardiology,61 Carp Street,BEGA,2550,NSW
Illawarra Heart Centre,https://illawarraheartcentre.com.au/,Cardiology,Suite 3A,SHELLHARBOUR CITY CENTRE,2529,NSW
Dr William McKenzie,www.drbillmckenzie.com.au,Cardiology,WOLLONGONG PRIVATE HOSPITAL,WOLLONGONG,2500,NSW
E & S Vogl Pty Ltd trading as Southern Central Cardiology,https://www.southerncentralcardiology.com/,Cardiology,20 Loftus Street,WOLLONGONG,2500,NSW
Campbelltown Medical and Dental Centre,https://www.campbelltownmedicalanddental.com.au/,Cardiology; Pathology; Radiology service,296 QUEEN STREET,CAMPBELLTOWN,2560,NSW
Dr Christopher Bell - Orthopaedic Surgeon in Sunnybank,https://bellorthopaedics.com.au/,Orthopaedic service,Sunnybank Specialist Centre Sunnybank Private Hospital,SUNNYBANK,4109,QLD
Dr Thittukattoor Sudhahar - Orthopaedic Surgeon,https://drtas14.wixsite.com/website,Orthopaedic service,Greenslopes Specialist Centre,GREENSLOPES,4120,QLD
Dr Ben Kenny,https://drbenkenny.com.au,Orthopaedic service,Nicholson Street Specialist Centre,GREENSLOPES,4120,QLD
Lane Orthopaedic Group,https://www.jlanemed.com/,Orthopaedic service,Greenslopes Specialist Centre,GREENSLOPES,4120,QLD
Greenslopes Orthopaedic Service,https://www.greenslopesprivate.com.au/Our-Services/Orthopaedics/Orthopaedics-Overview,Orthopaedic service,"Admin Bdg, Greenslopes Private Hospital",GREENSLOPES,4120,QLD
Dr Christopher Bell - Orthopaedic Surgeon in Woolloongabba,https://gabbaspineortho.com.au/,Orthopaedic service,85 Lewis Street,WOOLLOONGABBA,4102,QLD
Logan Specialist Centre,http://drdes.com.au/,Orthopaedic service,Plaza Chambers,SPRINGWOOD,4127,QLD
Queensland Lithotripsy Services,http://qldlitho.com.au,Orthopaedic service,80 JEPHSON STREET,TOOWONG,4066,QLD
Dr Scott Sommerville - Orthopaedic Surgeon,https://www.thejointspace.com.au/,Orthopaedic service,Wesley Medical Centre,AUCHENFLOWER,4066,QLD
QLD Spine,https://www.qldspine.com/,Orthopaedic service,Wesley Medical Centre,AUCHENFLOWER,4066,QLD
Dr Jeremy Bartlett - Orthopaedic Surgery,https://www.drjeremybartlett.com.au/,Orthopaedic service,Arnold Jansen Centre,SPRING HILL,4000,QLD
Meadowbrook Medical Centre,http://www.meadowbrookmc.com.au,Cardiology,12-16 LOGANDOWNS DRIVE,MEADOWBROOK,4131,QLD
Queensland Cardiology,www.qldcardiology.com.au,Cardiology,Suite 18,CHERMSIDE,4032,QLD
Ponds Boulevard General Practice,http://www.thepondsgp.com.au/,Pathology,218 The Ponds Boulevard,THE PONDS,2769,NSW
Rouse Hill Town Medical and Dental Centre,https://www.rousehillmedicalcentre.com.au/,Pathology; Radiology service,10-14 MARKET LANE,ROUSE HILL,2155,NSW
North Kellyville Medical Centre,http://kellyvillemedical.com.au,Pathology,Shop 17,NORTH KELLYVILLE,2155,NSW
Kenthurst Medical Centre,https://www.kenthurstmedical.com/,Pathology,SHOP 9,KENTHURST,2156,NSW
Waitara Family Medical Practice,http://www.waitaramedical.com/,Pathology,Suite 1,WAITARA,2077,NSW
Ginninderra Medical and Dental Centre,https://www.ginninderramedicalcentre.com.au/,Pathology,Corner Nettlefold Street and Coulter Drive,BELCONNEN,2617,ACT
Phillip Medical and Dental Centre,https://www.phillipmedicalcentre.com.au/,Pathology; Radiology service,33 COLBEE COURT,PHILLIP,2606,ACT
Dr Sandeep Tewari - Orthopaedic Surgery,http://www.tewariortho.com.au/,Orthopaedic service,214 BRUNKER ROAD,ADAMSTOWN,2289,NSW
Newcastle Knee Clinic/ Dr Peter Berton,https://www.newcastlekneeclinic.com.au/,Orthopaedic service,Suite 1,KOTARA,2289,NSW
Dr James O'Sullivan,https://www.aofas.com.au/find-member/,Orthopaedic service,93 Elder Street,LAMBTON,2299,NSW
Gateshead Orthopedics,https://drbrentonjohns.com.au/,Orthopaedic service,Level 2,GATESHEAD,2290,NSW
Hunter Spine & Arthoplasty Centre,www.hunterspine.com.au,Orthopaedic service,Maitland Private Hospital,ASHTONFIELD,2323,NSW
Maitland Orthopaedic and Rehab Specialists,https://maitland-orthopaedics-and-rehab-specialists.business.site/,Orthopaedic service,104 George Street,EAST MAITLAND,2323,NSW
Dr David Bradshaw,https://drdavidbradshaw.com.au/contact/,Orthopaedic service,Kanwal Medical Centre,HAMLYN TERRACE,2259,NSW
Coastal Orthopaedics and Sports Injuries,http://www.cosi.com.au,Orthopaedic service,Gosford Private Hospital,NORTH GOSFORD,2250,NSW
Dr Alexander Nicholls,dralexnicholls.com.au,Orthopaedic service,Level 1,DEE WHY,2099,NSW
Dr Mark Hile,https://www.drmarkhile.com.au/locations/frenchs-forest,Orthopaedic service,Level 1,DEE WHY,2099,NSW
Dr Richard Barry - Ophthalmologist,https://drrichardbarry.com/contact/,Ophthalmology,Barton Specialist Centre One Sydney,BARTON,2600,ACT
Canberra Retina Clinic,http://www.canberraretinaclinic.com.au,Ophthalmology,Project Co-ordination,DEAKIN,2600,ACT
Canberra Eye Surgeons,http://www.canberraeyehospital.com.au,Ophthalmology,4 Makin Place,DEAKIN,2600,ACT
Canberra Eye Laser,http://www.canberraeyelaser.com.au,Ophthalmology,Canberra Healthpoint,PHILLIP,2606,ACT
Southcoast Ophthalmology,https://southcoastophthalmology.com.au/,Ophthalmology,76 Osborne Street,NOWRA,2541,NSW
Southview Eye Centre,https://www.southvieweyecentre.com.au/,Ophthalmology,61 North Street,NOWRA,2541,NSW
Dr Peter Macken,https://drpetermacken.com/category/general-information/,Ophthalmology,Suite 8,BOWRAL,2576,NSW
Riverina Eye Care Centre,https://riverinaeye.com.au/,Ophthalmology,98 Best Street,WAGGA WAGGA,2650,NSW
Illawarra Ophthalmology,www.illawarraophthalmology.com.au,Ophthalmology,1-3 PRINCES HIGHWAY,FIGTREE,2525,NSW
